ALC_mg/L,CONDUCT_mS/cm,SDT_M_mg/L,FLUORUROS_mg/L,DUR_mg/L,COLI_FEC_NMP/100_mL,N_NO3_mg/L,AS_TOT_mg/L,CD_TOT_mg/L,CR_TOT_mg/L,HG_TOT_mg/L,PB_TOT_mg/L,MN_TOT_mg/L,FE_TOT_mg/L,SEMAFORO
229.99,940.0,603.6,0.9766,213.732,1.0,4.184656,0.0161,0.002,0.004,0.0004,0.004,0.0014,0.0891,Verde
231.99,608.0,445.4,0.9298,185.0514,1.0,5.75011,0.0134,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
204.92,532.0,342.0,1.8045,120.719,1.0,1.449803,0.037,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
327.0,686.0,478.6,1.1229,199.879,1.0,1.258597,0.0154,0.002,0.005,0.0004,0.004,0.0014,0.024,Verde
309.885,1841.0,1179.0,0.2343,476.9872,291.0,15.672251,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
224.475,570.3,554.8,0.2756,201.8784,6131.0,8.55574,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
203.67,531.0,278.8,0.289,166.2528,110.0,4.68647,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
350.76,2253.3,1160.2,0.5607,269.1712,798.0,27.600998,0.009,0.002,0.004,0.0004,0.004,0.0041,0.0692,Rojo
343.655,1114.0,672.0,0.3421,403.8482,146.0,1.877325,0.009,0.002,0.004,0.0004,0.004,0.0113,0.1615,Verde
332.605,1703.0,1017.8,0.5088,559.0214,3873.0,0.143061,0.3558,0.002,0.004,0.0004,0.004,1.167,14.06,Rojo
136.53,1329.0,671.2,0.4925,222.8128,355.0,5.625327,0.009,0.002,0.0053,0.0004,0.004,0.0014,0.024,Verde
247.52,1668.0,931.2,0.6351,198.94,1.0,0.165785,0.009,0.002,0.004,0.0004,0.004,0.0808,0.1992,Verde
103.23,5167.0,3311.0,0.2636,744.0356,10.0,0.853692,0.02575,0.002,0.004,0.00051,0.004,0.0023,0.081,Rojo
240.89,1369.0,811.6,0.4125,415.7846,857.0,0.211852,0.1128,0.002,0.004,0.0004,0.004,0.0027,0.0321,Rojo
380.12,1536.0,999.8,0.3513,527.7972,4106.0,0.877601,0.009,0.002,0.004,0.0004,0.0399,0.0745,1.326,Rojo
204.765,928.0,512.6667,0.4116,187.248,1.0,9.224505,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
244.185,1593.0,789.3333,0.6076,199.2,1.0,3.146125,0.009,0.002,0.0104,0.0004,0.004,0.0014,0.024,Verde
251.97,12830.0,9503.6667,0.4142,3426.24,1.0,9.579012,0.009,0.002,0.004,0.0004,0.004,0.0078,0.1215,Amarillo
130.98,815.0,277.8,0.5234,57.6926,265.0,0.742984,0.1244,0.002,0.0071,0.0004,0.004,0.0014,0.024,Rojo
249.66,1153.0,678.0,0.2563,241.4624,10.0,8.444545,0.009,0.002,0.004,0.0004,0.004,0.0051,0.0564,Verde
221.19,3100.0,1471.2,0.8969,352.2976,521.0,5.677573,0.0485,0.002,0.0067,0.0004,0.004,0.022,0.7512,Rojo
205.86,2363.0,1158.0,0.3557,362.1936,1.0,6.520263,0.009,0.002,0.004,0.0004,0.004,0.0025,0.0484,Amarillo
189.435,1584.0,890.6,0.3542,287.2224,1.0,8.844383,0.009,0.002,0.004,0.0004,0.004,0.0021,0.0373,Verde
208.05,1376.0,720.8,0.2572,313.1522,3654.0,7.535822,0.0156,0.002,0.004,0.00149,0.004,0.0279,1.47,Rojo
378.0,642.0,748.0,0.3102,341.7525,240.0,4.060667,0.009,0.002,0.004,0.0004,0.004,0.0169,0.3243,Amarillo
103.13,950.0,608.67,0.3062,241.5623,43.0,3.863066,0.009,0.002,0.006,0.0004,0.004,0.0044,0.0703,Verde
140.0,446.0,540.0,0.3823,266.0324,1.0,1.313023,0.009,0.002,0.0335,0.0004,0.004,0.0019,0.0436,Verde
150.0,412.0,552.0,0.7995,68.1075,1.0,3.383635,0.0109,0.002,0.042,0.0004,0.004,0.0014,0.024,Verde
135.0,1436.0,1812.0,0.2943,797.9758,93.0,13.83286,0.009,0.002,0.011,0.0004,0.004,0.0014,0.024,Rojo
187.0,1192.0,1712.0,0.272,625.8848,9.0,10.400343,0.009,0.002,0.0595,0.0004,0.004,0.0377,1.244,Rojo
161.0,443.0,496.0,0.3593,236.6757,4.0,5.489275,0.009,0.002,0.0312,0.0004,0.004,0.0014,0.024,Verde
172.0,802.0,988.0,0.3116,437.1921,1.0,19.438806,0.009,0.002,0.0128,0.0004,0.004,0.0014,0.024,Rojo
154.0,506.0,444.0,0.7633,84.8712,1.0,3.959387,0.009,0.002,0.041,0.0004,0.004,0.0014,0.024,Verde
111.605,951.0,500.8,0.2671,166.4544,1019.0,13.644042,0.009,0.002,0.004,0.0004,0.004,0.0094,0.4138,Rojo
115.44,736.0,405.4,0.2072,153.1838,1.0,8.085917,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
178.71,1011.0,556.6,0.1,213.144,1.0,2.136936,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
162.06,4960.0,3299.0,0.1,1541.785,4352.0,6.361578,0.009,0.002,0.004,0.0004,0.004,0.0288,1.419,Rojo
208.68,2860.0,27215.8,0.3848,672.4172,63.0,5.869769,0.009,0.002,0.0071,0.0004,0.004,0.008,0.4969,Amarillo
170.94,2004.0,1433.8,0.2781,606.767,1.0,7.321045,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0655,Amarillo
138.75,2105.0,1780.0,0.1,616.714,1.0,7.406388,0.009,0.002,0.004,0.0004,0.004,0.002,0.0863,Amarillo
163.17,712.0,453.4,0.1,198.94,1.0,2.785682,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0644,Verde
150.96,680.0,404.8,0.1,179.046,350.0,2.808599,0.009,0.002,0.004,0.0004,0.004,0.0014,0.05,Verde
230.88,805.0,471.0,0.226,230.7704,1.0,2.378314,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0465,Verde
222.0,974.0,535.6,0.3068,230.7704,1.0,1.824558,0.009,0.002,0.004,0.0004,0.004,0.0014,0.05,Verde
168.72,3690.0,2421.2,0.1,1145.4,5794.0,18.525663,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0578,Rojo
66.6,3380.0,2884.6,0.1,835.548,313.0,9.016116,0.009,0.002,0.004,0.0004,0.004,0.0036,0.1404,Amarillo
144.3,4920.0,3160.8,0.2229,1310.73,86.0,21.157155,0.009,0.002,0.004,0.0004,0.004,0.0229,1.079,Rojo
229.77,3380.0,1861.0,0.8119,616.714,1421.0,3.106493,0.009,0.002,0.004,0.0004,0.004,0.0028,0.0602,Rojo
155.4,1134.0,530.2,0.7515,151.392,1.0,6.633247,0.009,0.002,0.0055,0.0004,0.004,0.0014,0.024,Verde
127.65,748.0,258.3333,0.4462,75.696,1.0,0.834827,0.0569,0.002,0.005,0.0004,0.004,0.0014,0.026,Rojo
144.3,597.0,363.0,0.3728,199.8992,10.0,1.217581,0.009,0.002,0.004,0.0004,0.004,0.0023,0.0388,Verde
85.47,266.0,249.2,0.2664,91.0432,1.0,2.752412,0.009,0.002,0.004,0.0004,0.004,0.0025,0.0607,Verde
202.02,1469.0,682.8,2.2275,184.0656,14136.0,2.146111,0.009,0.002,0.004,0.0004,0.004,0.0096,0.0257,Rojo
316.11,2119.0,1408.0,0.9497,747.99,40.0,0.526,0.009,0.002,0.004,0.0004,0.004,0.00425,0.15967,Amarillo
145.16,3404.0,2386.0,0.2482,777.89,1.0,5.4536,0.009,0.002,0.004,0.0004,0.004,0.0014,0.15314,Amarillo
199.5,1591.0,1054.0,0.2655,729.83,1.0,3.0816,0.009,0.002,0.004,0.0004,0.004,0.0014,0.26019,Amarillo
278.86,766.0,514.0,0.3207,305.22,1.0,1.0098,0.009,0.002,0.004,0.0004,0.004,0.0061,0.2531,Verde
261.67,2404.0,1572.0,0.3284,781.55,1.0,4.0016,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2197,Amarillo
291.28,5791.0,3606.0,0.6042,580.24,40.0,3.1708,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2695,Amarillo
